utc_date,local_time,hour_category,part_of_the_day,magnitude,magnitude_unit,magnitude_category,depth_(km),depth_category,location,latitude,longitude,url
2023-06-04,01:00:37,1:00 - 2:00,Early Hours,3.5,Ml,3-3.9,82,intermediate,38 km al SE de Baquedano,-23.601,-69.614,https://www.sismologia.cl/sismicidad/informes/2023/06/199439.html
2023-06-04,21:41:25,21:00 - 22:00,Later Hours,2.5,Ml,<3,116,intermediate,44 km al SO de Mina Collahuasi,-21.158,-68.886,https://www.sismologia.cl/sismicidad/informes/2023/06/199427.html
2023-06-04,20:51:54,20:00 - 21:00,Later Hours,2.7,Ml,<3,105,intermediate,26 km al SE de Pica,-20.623,-69.124,https://www.sismologia.cl/sismicidad/informes/2023/06/199423.html
2023-06-04,20:12:45,20:00 - 21:00,Later Hours,2.9,Ml,<3,121,intermediate,37 km al O de Socaire,-23.53,-68.247,https://www.sismologia.cl/sismicidad/informes/2023/06/199417.html
2023-06-04,20:08:21,20:00 - 21:00,Later Hours,2.8,Ml,<3,62,intermediate,8 km al S de La Serena,-29.971,-71.23,https://www.sismologia.cl/sismicidad/informes/2023/06/199415.html
2023-06-04,20:04:17,20:00 - 21:00,Later Hours,2.7,Ml,<3,21,shallow,37 km al SO de Canela Baja,-31.565,-71.792,https://www.sismologia.cl/sismicidad/informes/2023/06/199414.html
2023-06-03,19:41:56,19:00 - 20:00,Later Hours,2.7,Ml,<3,30,shallow,117 km al O de Iquique,-20.144,-71.273,https://www.sismologia.cl/sismicidad/informes/2023/06/199412.html
2023-06-03,19:20:51,19:00 - 20:00,Later Hours,2.5,Ml,<3,63,intermediate,31 km al N de Vallenar,-28.299,-70.804,https://www.sismologia.cl/sismicidad/informes/2023/06/199411.html
2023-06-03,18:01:33,18:00 - 19:00,Later Hours,2.9,Ml,<3,19,shallow,106 km al O de Arica,-18.642,-71.313,https://www.sismologia.cl/sismicidad/informes/2023/06/199409.html
2023-06-03,16:26:01,16:00 - 17:00,Later Hours,3.5,Ml,3-3.9,130,intermediate,70 km al SO de Ollagüe,-21.799,-68.527,https://www.sismologia.cl/sismicidad/informes/2023/06/199404.html
2023-06-03,15:59:05,15:00 - 16:00,Central Hours,3.0,Ml,3-3.9,126,intermediate,63 km al SO de Ollagüe,-21.748,-68.484,https://www.sismologia.cl/sismicidad/informes/2023/06/199401.html
2023-06-03,13:05:33,13:00 - 14:00,Central Hours,3.1,Ml,3-3.9,48,shallow,24 km al N de La Higuera,-29.299,-71.227,https://www.sismologia.cl/sismicidad/informes/2023/06/199381.html
2023-06-03,10:54:23,10:00 - 11:00,Central Hours,3.4,Ml,3-3.9,105,intermediate,42 km al SO de Mina Collahuasi,-21.09,-68.944,https://www.sismologia.cl/sismicidad/informes/2023/06/199373.html
2023-06-03,10:12:58,10:00 - 11:00,Central Hours,4.4,Mw,4-4.9,39,shallow,88 km al S de Ilo,-18.439,-71.361,https://www.sismologia.cl/sismicidad/informes/2023/06/199370.html
2023-06-03,09:41:40,9:00 - 10:00,Central Hours,2.7,Ml,<3,105,intermediate,45 km al SO de Mina Collahuasi,-21.05,-69.015,https://www.sismologia.cl/sismicidad/informes/2023/06/199366.html
2023-06-03,08:51:19,8:00 - 9:00,Central Hours,2.6,Ml,<3,60,intermediate,17 km al SO de Punitaqui,-30.903,-71.415,https://www.sismologia.cl/sismicidad/informes/2023/06/199363.html
2023-06-03,06:08:35,6:00 - 7:00,Early Hours,5.0,Mw,5-5.9,109,intermediate,27 km al NO de Mina Collahuasi,-20.72,-68.889,https://www.sismologia.cl/sismicidad/informes/2023/06/199355.html
2023-06-03,22:04:49,22:00 - 23:00,Later Hours,2.8,Ml,<3,79,intermediate,17 km al SO de Combarbalá,-31.31,-71.098,https://www.sismologia.cl/sismicidad/informes/2023/06/199320.html
2023-06-03,21:20:31,21:00 - 22:00,Later Hours,2.8,Ml,<3,83,intermediate,26 km al SO de El Salvador,-26.427,-69.784,https://www.sismologia.cl/sismicidad/informes/2023/06/199316.html
2023-06-02,19:25:36,19:00 - 20:00,Later Hours,2.8,Ml,<3,112,intermediate,50 km al S de Mina Collahuasi,-21.27,-68.757,https://www.sismologia.cl/sismicidad/informes/2023/06/199295.html
2023-06-02,18:44:35,18:00 - 19:00,Later Hours,3.3,Ml,3-3.9,126,intermediate,29 km al NE de Calama,-22.244,-68.781,https://www.sismologia.cl/sismicidad/informes/2023/06/199291.html
2023-06-02,18:25:31,18:00 - 19:00,Later Hours,3.7,Ml,3-3.9,184,intermediate,106 km al SE de Socaire,-24.359,-67.279,https://www.sismologia.cl/sismicidad/informes/2023/06/199290.html
2023-06-02,17:17:40,17:00 - 18:00,Later Hours,3.1,Ml,3-3.9,74,intermediate,52 km al N de Chañaral.,-25.91,-70.446,https://www.sismologia.cl/sismicidad/informes/2023/06/199282.html
2023-06-02,16:16:59,16:00 - 17:00,Later Hours,2.8,Ml,<3,96,intermediate,8 km al NE de Calama,-22.411,-68.882,https://www.sismologia.cl/sismicidad/informes/2023/06/199279.html
2023-06-02,15:41:51,15:00 - 16:00,Central Hours,3.8,Ml,3-3.9,131,intermediate,21 km al NE de Mina Los Pelambres,-31.695,-70.425,https://www.sismologia.cl/sismicidad/informes/2023/06/199277.html
2023-06-02,13:33:26,13:00 - 14:00,Central Hours,2.8,Ml,<3,120,intermediate,43 km al SE de Mina Los Pelambres,-32.067,-70.234,https://www.sismologia.cl/sismicidad/informes/2023/06/199257.html
2023-06-02,13:31:26,13:00 - 14:00,Central Hours,2.7,Ml,<3,51,intermediate,14 km al NO de Vallenar,-28.456,-70.819,https://www.sismologia.cl/sismicidad/informes/2023/06/199254.html
2023-06-02,12:02:14,12:00 - 13:00,Central Hours,2.9,Ml,<3,30,shallow,11 km al O de Tongoy,-30.278,-71.602,https://www.sismologia.cl/sismicidad/informes/2023/06/199242.html
2023-06-02,10:41:57,10:00 - 11:00,Central Hours,3.0,Ml,3-3.9,213,intermediate,97 km al SE de Ollagüe,-21.982,-67.785,https://www.sismologia.cl/sismicidad/informes/2023/06/199234.html
2023-06-02,06:54:06,6:00 - 7:00,Early Hours,2.8,Ml,<3,111,intermediate,45 km al SO de Mina Collahuasi,-21.11,-68.971,https://www.sismologia.cl/sismicidad/informes/2023/06/199227.html
2023-06-02,03:34:43,3:00 - 4:00,Early Hours,2.5,Ml,<3,55,intermediate,32 km al O de Punitaqui,-30.887,-71.585,https://www.sismologia.cl/sismicidad/informes/2023/06/199216.html
2023-06-02,03:04:12,3:00 - 4:00,Early Hours,2.7,Ml,<3,139,intermediate,61 km al SO de Ollagüe,-21.701,-68.555,https://www.sismologia.cl/sismicidad/informes/2023/06/199213.html
2023-06-02,01:19:01,1:00 - 2:00,Early Hours,2.5,Ml,<3,22,shallow,47 km al NO de Canela Baja,-31.098,-71.799,https://www.sismologia.cl/sismicidad/informes/2023/06/199206.html
2023-06-02,01:08:49,1:00 - 2:00,Early Hours,2.5,Ml,<3,45,shallow,63 km al SO de Copiapó,-27.667,-70.877,https://www.sismologia.cl/sismicidad/informes/2023/06/199204.html
2023-06-02,00:33:32,0:00 - 1:00,Early Hours,3.4,Ml,3-3.9,25,shallow,73 km al S de Antofagasta,-24.295,-70.474,https://www.sismologia.cl/sismicidad/informes/2023/06/199201.html
2023-06-02,21:22:21,21:00 - 22:00,Later Hours,2.7,Ml,<3,113,intermediate,34 km al O de Ollagüe,-21.211,-68.586,https://www.sismologia.cl/sismicidad/informes/2023/06/199192.html
2023-06-02,21:18:41,21:00 - 22:00,Later Hours,3.0,Ml,3-3.9,256,deep,64 km al SE de Socaire,-24.056,-67.523,https://www.sismologia.cl/sismicidad/informes/2023/06/199191.html
2023-06-02,20:59:01,20:00 - 21:00,Later Hours,2.7,Ml,<3,116,intermediate,70 km al S de Ollagüe,-21.811,-68.494,https://www.sismologia.cl/sismicidad/informes/2023/06/199190.html
